"id","name","place_id","address","type","beds","phone","email","website","created_at"
"179","M'Rirt",NULL,"Route de Marrakech, M'Rirt","HPR","250","0524832314",NULL,NULL,"2025-12-14 14:22:20"
"180","Mohamed VI",NULL,NULL,"HPR","200",NULL,NULL,NULL,"2025-12-14 14:22:20"
"181","Hassan II",NULL,"BP 8644, Avenue Hassan II, Casablanca","HP","1000",NULL,NULL,NULL,"2025-12-14 14:22:20"
"182","Oued.Zem",NULL,"Route de Sidi Slimane, 14000 Khouribga","HPR","250",NULL,"ouedzem@hopitaux.gov.ma","https://www.hopitaux.gov.ma/ouedzem","2025-12-14 14:22:20"
"183","Centre de Léprologie",NULL,"BP 1195, Marrakech","HP","30","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"184","Mohamed Sekkat",NULL,NULL,"HP","450",NULL,NULL,NULL,"2025-12-14 14:22:20"
"185","Mohamed Baouafi",NULL,"Boulevard Mohammed VI, 40000 Marrakech","HP","600","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"186","Ben Msick",NULL,NULL,"HP","700",NULL,NULL,NULL,"2025-12-14 14:22:20"
"187","Benslimane (Hassan II)",NULL,"Route de Casablanca, 29000 Benslimane","HP","400","0524982222",NULL,NULL,"2025-12-14 14:22:20"
"188","Berrchid",NULL,NULL,"HP","350",NULL,NULL,NULL,"2025-12-14 14:22:20"
"189","Errazi",NULL,"Rue El Makhfia, 40000 Marrakech","HPSYP","500","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"190","Ibn Rochd",NULL,"Boulevard de l'Académie, Casablanca","HIR","500","0522282828","ibnrochd@hopital.ma","https://www.hopitalibnrochd.ma","2025-12-14 14:22:20"
"191","Hôpital D'enfants",NULL,NULL,"HIR","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"192","20 Aout 1953",NULL,NULL,"HIR","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"193","My Youssef",NULL,NULL,"HR","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"194","Azemmour",NULL,NULL,"HPR","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"195","El Hassani",NULL,NULL,"HP","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"196","Mediouna",NULL,"Route de Casablanca, 20620 Mediouna","HP","300","0524830000",NULL,NULL,"2025-12-14 14:22:20"
"197","Tit Mellil",NULL,"Route de Rabat, 27600 Tit Mellil","HPSYP","250","0523932334","hospital.titmellil@maroc.com","https://www.hopital-titmellil.ma","2025-12-14 14:22:20"
"198","My Abdellah",NULL,NULL,"HP","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"199","Sidi Othmane",NULL,"Route de Sidi Othmane, 40000 Marrakech","HP","500","0524382222",NULL,NULL,"2025-12-14 14:22:20"
"200","Bouskoura",NULL,"Route de Casablanca, 27170 Bouskoura","HPR","500","0522232323","hpbouskoura@hopitaux.gov.ma","https://www.hpbouskoura.ma","2025-12-14 14:22:20"
"201","Prince My Hassan",NULL,NULL,"HP","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"202","Ben Ahmed",NULL,NULL,"HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"203","Sidi Bennour",NULL,"Route de Marrakech, 43150 Sidi Bennour","HP","250","0583532345",NULL,NULL,"2025-12-14 14:22:20"
"204","Zmamra",NULL,NULL,"HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"205","Al Mansour",NULL,NULL,"HP","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"206","HPr Sidi Moumen",NULL,"Rue 1, Quartier Sidi Moumen, Casablanca","HPR","500","0537621111","hpsidimoumen@gmail.com","https://hpsidimoumen.ma","2025-12-14 14:22:20"
"207","Sghiri Houmman I Ben Maati",NULL,"Route de l'aéroport, 20000, Tanger","HPR","120","0539933131",NULL,NULL,"2025-12-14 14:22:20"
"208","My Ali Cherif",NULL,NULL,"HR","30",NULL,NULL,NULL,"2025-12-14 14:22:20"
"209","Hôpital Amir Soultan Ibn Abdelaziz",NULL,"Route de l'Aéroport, 40100 Marrakech","HP","1000","0524381111",NULL,NULL,"2025-12-14 14:22:20"
"210","20 Aout (Goulmima)",NULL,"Goulmima, Province de Figuig, Région Oriental","HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"211","HPr Rich",NULL,NULL,"HPR","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"212","Midelt",NULL,"Route de Meknès, 53000 Midelt","HP","200",NULL,NULL,NULL,"2025-12-14 14:22:20"
"213","Sidi Hssain Bencer",NULL,"Route de Sidi Hssain, 20000 Sidi Bennour, Marrakech-Safi","HP","150",NULL,"sidi-hssain-bencer@hopital.ma","https://hopital-sidi-hssain-bencer.ma","2025-12-14 14:22:20"
"214","Bougafer",NULL,"Route de l'hôpital, 40000 Marrakech","HP","500","0524380000","hopital.bougafer@mss.gov.ma","https://www.hopitalbougafer.ma","2025-12-14 14:22:20"
"216","Tinghir",NULL,"Tinghir, Province de Tinghir, Région Drâa-Tafilalet","HP","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"217","Ed-Derrak",NULL,"Route de l'aéroport, 40000 Marrakech","HP","500","0524382222","edderak.hopital@gmail.com","https://www.edderak.ma","2025-12-14 14:22:20"
"218","Marche Verte",NULL,NULL,"HP","60",NULL,NULL,NULL,"2025-12-14 14:22:20"
"219","S. Ahmed B. Driss Missouri",NULL,"BP 1010, Avenue Hassan II, Casablanca","HPR","1000",NULL,NULL,NULL,"2025-12-14 14:22:20"
"220","Ibn Al Baitar",NULL,"Boulevard Ibn Sina, 40000 Marrakech","HR","500","0524432222","ibn.al.baitar@hopitaux-marocains.ma","https://www.hopitaux-marocains.ma/ibn-al-baitar","2025-12-14 14:22:20"
"221","Ibn Al Hassan",NULL,"Boulevard Ibn Sina, 40000 Marrakech","CPU","1000","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"222","Ibn Al Khatib",NULL,"Rue Ibn Al Khatib, Casablanca","HR","500","0522334455","ibnalkhatib@hopital.ma","https://www.hopitalibnalkhatib.ma","2025-12-14 14:22:20"
"223","Omar Drissi",NULL,NULL,"HIR","480",NULL,NULL,NULL,"2025-12-14 14:22:20"
"224","Hôpital des spécialités",NULL,NULL,"HIR","400",NULL,NULL,NULL,"2025-12-14 14:22:20"
"225","Hôpital Mère-Enfant",NULL,"BP 6419, Avenue Hassan II, Casablanca","HIR","500",NULL,"hme@hopitalmerefant.ma","https://www.hopitalmerefant.ma","2025-12-14 14:22:20"
"226","Hôpital d'Oncologie",NULL,"BP 641, Avenue Ibn Sina, 10000 Rabat","HIR","560","0537733131",NULL,NULL,"2025-12-14 14:22:20"
"227","20 Aout (Azrou)",NULL,"Route de Taza, Azrou, Fès-Meknès","HP","300","0535784444",NULL,NULL,"2025-12-14 14:22:20"
"228","Sidi Said",NULL,"Boulevard Mohammed VI, Sidi Said, Rabat","HP","500","0537737373","sidi.said.hopital@maroc.gov.ma","https://www.sidi-said-hopital.ma","2025-12-14 14:22:20"
"229","Pagnon",NULL,NULL,"HP","40",NULL,NULL,NULL,"2025-12-14 14:22:20"
"230","Centre d'oncologie",NULL,NULL,"CRO","20",NULL,NULL,NULL,"2025-12-14 14:22:20"
"232","Ibn Baja",NULL,"Rue Ibn Bajah, 40000 Marrakech","HP","1000","0524433030",NULL,NULL,"2025-12-14 14:22:20"
"233","Assa",NULL,NULL,"HP","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"234","Bouizakaren",NULL,"Route de Bouizakaren, 40000 Marrakech","HPR","500","0524373456","bouizakaren.hopital@maroc.mg","https://bouizakaren.hopital.ma","2025-12-14 14:22:20"
"235","Guelmim",NULL,"Route de la ville, Guelmim","HR","250","0528831111","hpguelmim@minss.gov.ma","https://www.hpguelmim.ma","2025-12-14 14:22:20"
"237","Boujdour",NULL,NULL,"HP","450",NULL,NULL,NULL,"2025-12-14 14:22:20"
"238","Es-Smara",NULL,NULL,"HP","350",NULL,NULL,NULL,"2025-12-14 14:22:20"
"239","My Hassan Ben El Mehdi",NULL,"Route de l'aéroport, 40000 Marrakech","HR","500","0524380000","hbmhassan@gmail.com","https://hbmhassan.ma","2025-12-14 14:22:20"
"240","Laayoune",NULL,"BP 100, Laâyoune","CRO","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"241","Assalama",NULL,"Route de l'aéroport, 40170 Sidi Yahya","HP","300","0524232323",NULL,NULL,"2025-12-14 14:22:20"
"242","Hôpital psychiatrique",NULL,NULL,"HPSYP","30",NULL,NULL,NULL,"2025-12-14 14:22:20"
"243","Princesse Lalla Khadija",NULL,"Boulevard Mohammed VI, 40000 Marrakech","HPR","1000","0524380000",NULL,NULL,"2025-12-14 14:22:20"
"244","Sidi Med Ben Abdellah",NULL,"Route de l'hôpital, 50000 Fès","HP","1000","0535636363","sidi-med-ben-abdellah@minss.gov.ma","https://www.minss.gov.ma/hopitaux/sidi-med-ben-abdellah","2025-12-14 14:22:20"
"245","Ibn Tofeil",NULL,NULL,"HIR","400",NULL,NULL,NULL,"2025-12-14 14:22:20"
"246","Ibn Nafis",NULL,"Rue Ibn Sina, Casablanca","CPU","500","0522262626",NULL,NULL,"2025-12-14 14:22:20"
"247","Centre d'Hématologie Oncologie",NULL,"BP 6199, Rabat","HIR","400","0537733131",NULL,NULL,"2025-12-14 14:22:20"
"248","Arrazi",NULL,"BP 1234, 10000 Rabat","HIR","500","0537778899","info@arrazi.ma","https://www.arrazi.ma","2025-12-14 14:22:20"
"249","Ibn Zohr",NULL,"Route de Skhirat, 80000 Marrakech","HR","1000","0524433000",NULL,"https://www.hopitalibnzohr.ma","2025-12-14 14:22:20"
"250","El Antaki",NULL,NULL,"HR","550",NULL,NULL,NULL,"2025-12-14 14:22:20"
"251","Saada",NULL,"Boulevard Mohammed VI, 40000 Marrakech","HPSYR","500","0524383838","saada.hopital@gmail.com","https://www.hopital-saada.ma","2025-12-14 14:22:20"
"252","Benguerir",NULL,"Route de Benguerir, 43150 Benguerir","HP","500","0524432311","benguerir.hopital@gmail.com","https://www.hopitalbenguerir.ma","2025-12-14 14:22:20"
"253","Lalla Hasna",NULL,NULL,"HP","700",NULL,NULL,NULL,"2025-12-14 14:22:20"
"254","Saidia",NULL,"Route de l'hôpital, 32000 Saidia, Province de Oujda-Angad","HPR","300","0538871414","hospitalsaadia@gmail.com","https://www.hospitalsaadia.ma","2025-12-14 14:22:20"
"255","Guercif",NULL,"Route de Meknès, Guercif, Province de Taounate","HP","150","0378323456","hguercif@minss.gov.ma","https://www.minss.gov.ma/fr/hopitaux/guercif","2025-12-14 14:22:20"
"256","Jrada",NULL,"Route de Meknès, 23000, Fès","HP","500","0535633131",NULL,NULL,"2025-12-14 14:22:20"
"257","Zaio",NULL,NULL,"HPR","50",NULL,NULL,NULL,"2025-12-14 14:22:20"
"258","Centre d'oncoligie Hassan II",NULL,"Bd. Ibn Sina, 10100 Rabat","HIR","80","0537774000",NULL,NULL,"2025-12-14 14:22:20"
"259","Al Farabi",NULL,"Rue Al Farabi, Casablanca","HR","500","0522345678","info@alfarabi-hospital.ma","https://www.alfarabi-hospital.ma","2025-12-14 14:22:20"
"260","HPr Laayoune Sidi Mellouk",NULL,"Route de la Plage, Laâyoune","HPR","200","0528830000",NULL,NULL,"2025-12-14 14:22:20"
"261","Taourirt",NULL,"Route de Ouarzazate, Taourirt, Province de Ouarzazate","HP","150",NULL,"hospitaultaourirt@maroc.hc","https://hospitaultaourirt.ma","2025-12-14 14:22:20"
"262","Al Idrissi",NULL,"Boulevard Mohammed VI, 90000 Tétouan","HP","500","0539933131",NULL,NULL,"2025-12-14 14:22:20"
"263","Zoubir Skirej",NULL,"Boulevard de l'Armée Royale, 40000 Marrakech","HPR","400","0524385151",NULL,NULL,"2025-12-14 14:22:20"
"264","Khémisset",NULL,"Route de Rabat, Khemisset, Province de Khemisset","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"265","Roummani",NULL,"BP 1234, Route de la ville, 10000 Marrakech","HPR","250","0524689012","info@hopital-roummani.ma","https://hopital-roummani.ma","2025-12-14 14:22:20"
"266","Tiflet",NULL,"Route de Tiflet, 14210 Tiflet","HPR","500","0527932311","hospital.tiflet@maroc.hc","https://tiflet.hc.ma","2025-12-14 14:22:20"
"267","Ibn Sina",NULL,"Rue Ibn Sina, Casablanca","HIR","500","0522334455","ibn.sina@hopitaux.ma","https://www.ibnsina.ma","2025-12-14 14:22:20"
"268","Maternité Souissi",NULL,"Rue Abou Bakr El Chorfa, Souissi, Rabat","HIR","700","0537772424",NULL,NULL,"2025-12-14 14:22:20"
"269","Maternité Orangers",NULL,"Route de la Maternité, 40000 Marrakech","HIR","150",NULL,"materniteorangers@gmail.com","https://www.materniteorangers.ma","2025-12-14 14:22:20"
"270","Hôpital De Rabat",NULL,"Boulevard Mohammed V, Rabat 10000","HR","500","0537733131","hprabat@minss.gov.ma","https://www.hprabat.ma","2025-12-14 14:22:20"
"271","El Ayachi",NULL,NULL,"HIR","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"272","Moulay Abdellah (Hôp.préféctoral)",NULL,"Route de l'aéroport, 40000 Marrakech","HP","1000","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"273","Sidi Kacem",NULL,"Route de Meknès, 16000 Sidi Kacem","HP","500","0535832211",NULL,NULL,"2025-12-14 14:22:20"
"274","Sidi Slimane",NULL,"Route de Sidi Slimane, 23000 Sidi Slimane","HP","500","0583838383","sidi.slimane.hopital@gmail.com","https://sidi-slimane-hopital.ma","2025-12-14 14:22:20"
"275","Sidi Lahcen",NULL,NULL,"HP","60",NULL,NULL,NULL,"2025-12-14 14:22:20"
"276","C. d'Oncologie d'Agadir",NULL,"Route de l'Aéroport, 80000 Agadir","CRO","40","0528833131",NULL,NULL,"2025-12-14 14:22:20"
"277","Mokhtar Soussi",NULL,NULL,"HP","400",NULL,NULL,NULL,"2025-12-14 14:22:20"
"278","Inezgane",NULL,"Route de l'aéroport, 80000 Agadir","HP","1000","0528833131",NULL,NULL,"2025-12-14 14:22:20"
"279","Oulad Teima",NULL,"Route de Tanger, 23000 Oulad Teïma","HPR","250","0585832345","hospitauladteima@maroc.hc","https://www.hospitauladteima.ma","2025-12-14 14:22:20"
"280","Tata",NULL,NULL,"HP","160",NULL,NULL,NULL,"2025-12-14 14:22:20"
"281","Hassan 1er",NULL,"Rue Hassan II, Casablanca","HP","500","0522262626","hassan1er.hopital@maroc.gov.ma","https://www.hassan1er.hopital.ma","2025-12-14 14:22:20"
"282","Houmman El Fatouaki",NULL,"Route de l'aéroport, 40000 Marrakech","HP","250","0524382222","houman-el-fatouaki@hopitaux-marocains.ma","https://hopitaux-marocains.ma/houmman-el-fatouaki","2025-12-14 14:22:20"
"283","C. d'oncologie d'Al Hoceima",NULL,"Route de Targuist, 32000 Al Hoceima","CRO","150","0539832334","cdo.alhoceima@hopitaux.gov.ma","https://hopitaux.gov.ma/cdo-alhoceima","2025-12-14 14:22:20"
"284","Imzouren",NULL,NULL,"HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"285","Targuist",NULL,"Route de Targuist, Targuist, Province de Targuist, Région Tanger-Tétouan-Al Hoceïma","HPR","250","0539882211","hospitaltarguist@gmail.com","https://www.hospitaltarguist.ma","2025-12-14 14:22:20"
"286","Ksar El Kebir",NULL,"Route de Rabat, Ksar El Kebir, 12000","HPR","250","0539832334","ksar-el-kebir.hopital@maroc.ma","https://ksar-el-kebir.hopital.ma","2025-12-14 14:22:20"
"287","Lalla Meriem",NULL,"Route de l'hôpital, 10000 Rabat","HP","500","0537737373","lalla.meriem@hopitaux-marocains.ma","https://www.hopitaux-marocains.ma/lalla-meriem","2025-12-14 14:22:20"
"288","Abou Kacem Zahraoui",NULL,"Boulevard d'Agdal, 10000 Marrakech","HP","1000","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"289","Al Kortobi",NULL,"Route de l'hôpital, 40000 Marrakech","HR","500","0524431111","al-kortobi@hopitaux-marocains.ma","https://www.al-kortobi.ma","2025-12-14 14:22:20"
"290","Duc De Tovar",NULL,NULL,"HR","800",NULL,NULL,NULL,"2025-12-14 14:22:20"
"291","Assilah",NULL,"Route de la plage, Assilah","HPR","150",NULL,NULL,NULL,"2025-12-14 14:22:20"
"292","Ben Karrich",NULL,NULL,"HP","250",NULL,NULL,NULL,"2025-12-14 14:22:20"
"293","Hôpital.Civil",NULL,"BP 1234, 10000 Rabat","HP","500","0537751500","hopital.civil@minss.gov.ma","https://www.minss.gov.ma/hopital-civil","2025-12-14 14:22:20"
"294","Hopital des spécialités Bougafer",NULL,"Boulevard Mohammed VI, 40000 Marrakech","HÔPITAL","500","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"295","Clinique Rif",NULL,"Boulevard Mohammed VI, 93000 Tanger","HÔPITAL","50","0539939393","cliniquerif@gmail.com","https://www.cliniquerif.ma","2025-12-14 14:22:20"
"296","Clinique Khlalfa",NULL,NULL,"HÔPITAL","350",NULL,NULL,NULL,"2025-12-14 14:22:20"
"297","Hopital Ibn Sina /CHU Ibn SIna",NULL,"Boulevard de l'Armée Royale, 20100 Fès","HÔPITAL","1000",NULL,NULL,NULL,"2025-12-14 14:22:20"
"298","Hospital",NULL,NULL,"HÔPITAL","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"299","Hôpital Espagnol","129","Boulevard Mohammed VI, Tétouan","HÔPITAL","500","0539833131",NULL,NULL,"2025-12-14 14:22:20"
"300","Clinique Al karaouiyine",NULL,"Rue Imam Ali, Fes Nouvelle, Fès","CLINIQUE","100",NULL,NULL,NULL,"2025-12-14 14:22:20"
"301","Hôpital Riad Al Mokha",NULL,"Rue de la Liberté, 40000 Marrakech","HÔPITAL","500","0524374444","riadalmokha@hopital.ma","https://www.hopitalriadalmokha.ma","2025-12-14 14:22:20"
"302","Hopital Moulay Youssef",NULL,"Boulevard Moulay Youssef, 40000 Rabat","HÔPITAL","500","0537737373","hopital.moulayyoussef@minss.gov.ma","https://www.hopitalmoulayyoussef.ma","2025-12-14 14:22:20"
"303","Hôpital Jdid",NULL,"Boulevard Mohammed VI, 40000 Marrakech","HÔPITAL","500","0524433131","hjdid@msssi.ma","https://www.hopitaljdid.ma","2025-12-14 14:22:20"
"304","Clinique Badr مصحة بدر",NULL,"Route de Casablanca, 10000 Marrakech","CLINIQUE","150","0524380000","info@cliniquebadr.ma","https://www.cliniquebadr.ma","2025-12-14 14:22:20"
"305","clinique dentaire casablanca (cdc)",NULL,"Avenue des F.A.R. - 20100 Casablanca","CLINIQUE","40","0522234567","cdc@casablanca.ma","https://www.cdc.ma","2025-12-14 14:22:20"
"306","Centre consultation et traitement dentaires",NULL,NULL,"HÔPITAL","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"307","Polyclinique CNSS",NULL,"BP 1451, Casablanca","CLINIQUE","500","0522222222","cnss@cnss.ma","https://www.cnss.ma","2025-12-14 14:22:20"
"308","Clinique Isly","131","Route de la Zaat, Oujda","CLINIQUE","60","0536700702",NULL,NULL,"2025-12-14 14:22:20"
"309","Polyclinique Internationale de Rabat",NULL,"Boulevard Mohammed V, Rabat 10000","CLINIQUE","140","0537737373",NULL,NULL,"2025-12-14 14:22:20"
"310","Centre de santé Bab El Ain","133","Chefchaouen, Province de Tanger-Tétouan-Al Hoceïma","CLINIQUE","20","0618718038",NULL,NULL,"2025-12-14 14:22:20"
"311","Croissant Rouge الهلال الأحمر","133",NULL,"CLINIQUE","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"312","Centre de santé Al Haouta",NULL,"Route de Tanger, Al Haoua, Tanger","CLINIQUE","150","0539932311",NULL,NULL,"2025-12-14 14:22:20"
"313","Clinique du Chellah",NULL,"Rue de la Clinique, Chellah, Rabat","CLINIQUE","150","0537636363","cliniqueduchellah@gmail.com","https://cliniqueduchellah.ma","2025-12-14 14:22:20"
"314","Hôpital Mohammed V",NULL,"Boulevard de l'Académie, 10100 Rabat","HÔPITAL","1000","0539986228",NULL,"https://hopitalmohammedv.ma/","2025-12-14 14:22:20"
"315","Clinique d'accouchement",NULL,NULL,"CLINIQUE","54",NULL,NULL,NULL,"2025-12-14 14:22:20"
"316","Clinique La Ménara",NULL,"Boulevard de la Menara, 40000 Marrakech","CLINIQUE","100","0524433333",NULL,NULL,"2025-12-14 14:22:20"
"317","D'ophtamologie Dc Rafi",NULL,NULL,"CLINIQUE","128",NULL,NULL,NULL,"2025-12-14 14:22:20"
"318","Dc Khachani",NULL,NULL,"CLINIQUE","43",NULL,NULL,NULL,"2025-12-14 14:22:20"
"319","Clinique Souissi",NULL,"Rue de la Clinique, Souissi, Rabat","CLINIQUE","150","0537634444",NULL,NULL,"2025-12-14 14:22:20"
"320","Laboratoire D'Analyses Medicales Abdelmoumen","131","Route de la Zitoune, 60000 Oujda","CLINIQUE","31","0536687474",NULL,NULL,"2025-12-14 14:22:20"
"321","Clinique des Ambassadeurs",NULL,"Rue des Ambassadeurs, Casablanca","CLINIQUE","120","0522334455","info@cliniquedesambassadeurs.ma","https://www.cliniquedesambassadeurs.ma","2025-12-14 14:22:20"
"322","Clinique du Sebou",NULL,"Route de Sidi Kacem, 24000 Kenitra","CLINIQUE","80","0537360331",NULL,NULL,"2025-12-14 14:22:20"
"323","Clinique du Bouregreg",NULL,"Route de Rabat, 27000 Salé","CLINIQUE","150","0527222222",NULL,NULL,"2025-12-14 14:22:20"
"324","Centre de Pédiatrie",NULL,NULL,"CLINIQUE","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"325","Centre de santé Ain el Haouzi","133","Chefchaouen, Province de Tanger-Tétouan-Al Hoceïma","CLINIQUE","40",NULL,NULL,NULL,"2025-12-14 14:22:20"
"326","Centre de santé Dhar Ben Ayed","133","Chefchaouen, Province de Tanger-Tétouan-Al Hoceïma","CLINIQUE","40",NULL,NULL,NULL,"2025-12-14 14:22:20"
"327","Centre hospitalier universitaire Hassan II",NULL,"BP 737, Avenue Ibn Sina, 20100 Fès","HÔPITAL","1200",NULL,"chufes@chufes.ma","https://chufes.ma","2025-12-14 14:22:20"
"328","clinique fedala مستشفى مولاي عبد الله",NULL,NULL,"CLINIQUE","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"329","clinique anfa",NULL,"Rue de l'Anfa, Casablanca","CLINIQUE","150","0522334455","clinique.anfa@maroc.hopitaux","https://cliniqueanfa.ma","2025-12-14 14:22:20"
"330","Centre de santé urbain et maison d'accouchements",NULL,NULL,"CLINIQUE","40",NULL,NULL,NULL,"2025-12-14 14:22:20"
"331","Institut de Formation aux Carrières de Santé (IFCS)",NULL,"Boulevard de l'Académie, 10100 Rabat","HÔPITAL","500","0537737373","ifcs@minss.gov.ma","https://www.minss.gov.ma/ifcs","2025-12-14 14:22:20"
"332","Hôpital Sidi Othmane",NULL,NULL,"HÔPITAL","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"333","Premiers secours",NULL,"Route de la ville, Beni Ensar","HÔPITAL","150","0612345678","premierssecours.beniensar@hopitaux.ma","https://www.hopitaux.ma/premiers-secours-beni-ensar","2025-12-14 14:22:20"
"334","Clinique Achifa","135","Route de Marrakech, Béni Mellal","CLINIQUE","50",NULL,"clinique.achifa@gmail.com",NULL,"2025-12-14 14:22:20"
"335","Laboratoire Central D'Analyses Médicales du Tadla","135","Route de Marrakech, Béni Mellal","HÔPITAL","400","0523486448",NULL,NULL,"2025-12-14 14:22:20"
"336","Clinique les oliviers","135","Boulevard Mohammed VI, Béni Mellal","CLINIQUE","50","0523483629","cliniquelosoliviers@gmail.com",NULL,"2025-12-14 14:22:20"
"337","Clinique Al adarissa","135","Route de Marrakech, Béni Mellal","CLINIQUE","150",NULL,"info@cliniqe-al-adarissa.ma","https://www.clinique-al-adarissa.ma","2025-12-14 14:22:20"
"338","Délégation de la santé Azilal",NULL,"Route de Marrakech, Azilal","CLINIQUE","150","0523458198","ds.azilal@minss.gov.ma",NULL,"2025-12-14 14:22:20"
"339","laboratoire dentaire",NULL,NULL,"CLINIQUE","20","0667900628",NULL,NULL,"2025-12-14 14:22:20"
"340","Clinique Atlas","135","Route de Marrakech, Béni Mellal","CLINIQUE","100","0523488725",NULL,NULL,"2025-12-14 14:22:20"
"341","clinique Assalam","135","Boulevard Mohammed VI, Béni Mellal","CLINIQUE","150",NULL,"clinique.assalam@benimellal.ma","https://cliniqueassalam.ma","2025-12-14 14:22:20"
"342","Clinique Alamal","135","Route de Marrakech, Béni Mellal","CLINIQUE","50",NULL,"cliniquealamal@gmail.com",NULL,"2025-12-14 14:22:20"
"343","Clinique Agadir des spécialités",NULL,"BP 2128, Agadir","CLINIQUE","120","0528848484",NULL,"https://www.docteurchliyah.com","2025-12-14 14:22:20"
"344","Clinique médicale عيادة طبية",NULL,"Adresse non trouvée","CLINIQUE","40",NULL,NULL,NULL,"2025-12-14 14:22:20"
"345","dispensaire",NULL,NULL,"HÔPITAL","20",NULL,NULL,NULL,"2025-12-14 14:22:20"
"346","الترويض الطبي",NULL,"الدار البيضاء","HÔPITAL","1000","0522222222","troiziatif@hassan2.edu.ma","https://www.hassan2.edu.ma","2025-12-14 14:22:20"
"347","Clinique Abdelmoumen",NULL,"Rue des Orangers, Casablanca","CLINIQUE","50","0522980298","clinique.abdelmoumen@gmail.com","https://cliniqueabdelmoumen.ma","2025-12-14 14:22:20"
"348","Clinique taghzout مصحة تاغزوت",NULL,"Route de Tanger, 80000 Tanger","CLINIQUE","150","0528332333","info@clinitaghzout.ma","http://cliniquetaghzout.com/","2025-12-14 14:22:20"
"349","Croissant Rouge Marocain",NULL,NULL,"CLINIQUE","20","0537374305","info@croissant-rouge.ma","https://www.croissant-rouge.ma/","2025-12-14 14:22:20"
"350","Hôpital Public Hay Said HAJJI",NULL,"Boulevard Mohammed VI, 40000 Marrakech","CLINIQUE","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"351","Clinique Assalam",NULL,"Rue de la Clinique, Casablanca","CLINIQUE","150","0522334455","info@cliniqueassalam.ma","https://cliniqueassalam.ma","2025-12-14 14:22:20"
"352","Azzouzi صيدلية العزوزي","136","Fés","HÔPITAL","600","0535960428",NULL,NULL,"2025-12-14 14:22:20"
"353","Centre de santé ksiba",NULL,NULL,"HÔPITAL","30",NULL,NULL,NULL,"2025-12-14 14:22:20"
"354","مصحة المطار",NULL,"Route de l'aéroport, Casablanca","CLINIQUE","200","0522334455","info@msahma.com","https://www.msahma.ma","2025-12-14 14:22:20"
"355","Clinique Maâmoura",NULL,"Rue de la Clinique, Maâmoura","CLINIQUE","150","0524680000","clinique.maamoura@hopitaux-marocains.ma","https://www.cliniquemaamoura.ma","2025-12-14 14:22:20"
"356","Clinique Benjelloun",NULL,"Rue Benjelloun, Casablanca","CLINIQUE","50","0522334455","clinique.benjelloun@gmail.com","https://cliniquebenjelloun.ma","2025-12-14 14:22:20"
"357","Centre Belge de rééducation et readaptation",NULL,NULL,"CLINIQUE","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"358","Clinique Slaiki",NULL,"Rue Slaiki, Casablanca","CLINIQUE","50","0535620775","info@cliniqueslaiki.ma","https://cliniqueslaiki.ma","2025-12-14 14:22:20"
"359","Clinique de fez",NULL,"Rue Abdessalam Sergini, Fès","CLINIQUE","80","0535620307",NULL,NULL,"2025-12-14 14:22:20"
"360","Clinique de l'os et du sport",NULL,NULL,"CLINIQUE","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"361","Clinique Oumouma",NULL,NULL,"CLINIQUE","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
